"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
0,"__amd_rocclr_copyBuffer.kd",3,0,0,538376,538376,1024,512,0,0,20,4,32,64,"0x0","0x1552ee21ddc0",4505017848161826,4505017848334550,4505017848340150,4505017848359899,5600
1,"__amd_rocclr_copyBuffer.kd",3,0,2,538376,538376,1024,512,0,0,20,4,32,64,"0x0","0x1552ee21ddc0",4505017848357910,4505017848467350,4505017848472150,4505017848495902,4800
2,"__amd_rocclr_copyBuffer.kd",3,0,4,538376,538376,1024,512,0,0,20,4,32,64,"0x0","0x1552ee21ddc0",4505017848482772,4505017848490390,4505017848495190,4505017848511242,4800
3,"__amd_rocclr_copyBuffer.kd",3,0,6,538376,538376,1024,512,0,0,20,4,32,64,"0x0","0x1552ee21ddc0",4505017848509052,4505017848527670,4505017848532630,4505017848535203,4960
4,"__amd_rocclr_copyBuffer.kd",3,0,8,538376,538376,1024,512,0,0,20,4,32,64,"0x0","0x1552ee21ddc0",4505017848542363,4505017848551031,4505017848556151,4505017848557363,5120
5,"__amd_rocclr_copyBuffer.kd",3,0,10,538376,538376,1024,512,0,0,20,4,32,64,"0x0","0x1552ee21ddc0",4505017848712256,4505017848724471,4505017848729431,4505017848736046,4960
6,"__amd_rocclr_copyBuffer.kd",3,0,12,538376,538376,1024,512,0,0,20,4,32,64,"0x0","0x1552ee21ddc0",4505017848739086,4505017848761432,4505017848765112,4505017848766317,3680
7,"dsph::dambreak::k_taitPressure(unsigned int, float, float, float, float const*, float*) [clone .kd]",3,0,14,538376,538376,4096,256,0,0,28,4,32,64,"0x0","0x1552ee201700",4505017849180115,4505017849194394,4505017849201274,4505017849202535,6880
8,"dsph::dambreak::k_addGravity(unsigned int, float, float, float, float, float*, float*, float*) [clone .kd]",3,0,15,538376,538376,4096,256,0,0,12,4,16,64,"0x0","0x1552ee201740",4505017849209785,4505017849223674,4505017849226874,4505017849229866,3200
9,"dsph::dambreak::k_integrateEuler(unsigned int, float, float*, float*, float*, float const*, float const*, float const*) [clone .kd]",3,0,16,538376,538376,4096,256,0,0,12,4,32,64,"0x0","0x1552ee201780",4505017849221615,4505017849231034,4505017849234234,4505017849236366,3200
10,"__amd_rocclr_copyBuffer.kd",3,0,18,538376,538376,1024,512,0,0,20,4,32,64,"0x1552e01ff280","0x1552ee21ddc0",4505017849262226,4505017849274074,4505017849281114,4505017849282477,7040
11,"__amd_rocclr_copyBuffer.kd",3,0,20,538376,538376,1024,512,0,0,20,4,32,64,"0x1552e01ff180","0x1552ee21ddc0",4505017849306557,4505017849320795,4505017849327835,4505017849329168,7040
12,"__amd_rocclr_copyBuffer.kd",3,0,22,538376,538376,1024,512,0,0,20,4,32,64,"0x1552e01ff080","0x1552ee21ddc0",4505017849352238,4505017849362395,4505017849369275,4505017849370858,6880
