"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_queue_create",1,9713441,9713441,76.69980303582562
"hsa_amd_memory_pool_allocate",13,1423815,109524,11.242805722447283
"hsa_executable_load_agent_code_object",2,376867,188433,2.975837776818997
"hsa_signal_store_screlease",24,356686,14861,2.816483463031947
"hsa_amd_agents_allow_access",5,182404,36480,1.4403084213871002
"hsa_signal_wait_scacquire",16,164944,10309,1.3024398163268014
"hsa_executable_freeze",2,132023,66011,1.0424872191223282
"hsa_agent_get_info",65,63132,971,0.49850634448263426
"hsa_code_object_reader_create_from_memory",2,51771,25885,0.40879699613841564
"hsa_signal_create",22,32161,1461,0.2539514437196034
"hsa_executable_iterate_symbols",19,30091,1583,0.23760619672791844
"hsa_amd_signal_create",64,19958,311,0.15759344901451583
"hsa_isa_get_info_alt",2,19610,9805,0.1548455524188123
"hsa_amd_signal_async_handler",11,16709,1519,0.13193851786669733
"hsa_iterate_agents",1,14010,14010,0.11062652674082407
"hsa_executable_create_alt",2,13000,6500,0.1026513096096155
"hsa_executable_symbol_get_info",309,12557,40,0.0991532688283032
"hsa_signal_load_relaxed",71,6301,88,0.04975430014232209
"hsa_amd_agent_iterate_memory_pools",4,5990,1497,0.04729856496627668
"hsa_amd_pointer_info",50,5668,113,0.04475597098979235
"hsa_amd_memory_pool_free",8,5071,633,0.0400419070023354
"hsa_executable_get_symbol_by_name",19,3482,183,0.02749475846620624
"hsa_queue_add_write_index_screlease",24,2350,97,0.01855619827558434
"hsa_amd_memory_copy_engine_status",2,1781,890,0.014063229416517322
"hsa_queue_load_read_index_scacquire",24,1590,66,0.01255504479071451
"hsa_amd_memory_pool_get_info",25,1500,60,0.011844381878032557
"hsa_queue_load_read_index_relaxed",24,1460,60,0.011528531694618356
"hsa_signal_silent_store_relaxed",14,1450,103,0.011449569148764804
"hsa_signal_destroy",2,1280,640,0.010107205869254449
"hsa_amd_agent_memory_pool_get_info",9,1150,127,0.009080692773158294
"hsa_agent_iterate_isas",1,890,890,0.007027666580965984
"hsa_system_get_info",4,600,150,0.004737752751213023
"hsa_system_get_major_extension_table",1,420,420,0.003316426925849116
"hsa_amd_profiling_set_profiler_enabled",1,70,70,0.0005527378209748526
"hsa_dispatch",13,0,0,0.0
