==27356== NVPROF is profiling process 27356, command: ./build_bs_256/external_forces
==27356== Warning: Unified Memory Profiling is not supported on devices of compute capability less than 3.0
==27356== Profiling application: ./build_bs_256/external_forces
==27356== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,us,,,,,,,,B,B,KB,GB/s,,,,
327.725091,58.176000,,,,,,,,,,246.875000,4.047001,"Tesla M2050 (0)","1","7","[CUDA memcpy HtoD]"
327.864483,57.792000,,,,,,,,,,246.875000,4.073892,"Tesla M2050 (0)","1","7","[CUDA memcpy HtoD]"
327.997598,28.549000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [115]"
328.027557,22.773000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [123]"
328.051740,24.504000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [131]"
328.077662,22.823000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [139]"
328.101891,23.565000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [147]"
328.126879,22.526000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [155]"
328.150812,23.756000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [163]"
328.175974,22.514000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [171]"
328.199893,23.081000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [179]"
328.224386,23.477000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [187]"
328.249273,23.980000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [195]"
328.274677,23.393000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [203]"
328.299494,22.456000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [211]"
328.323357,24.408000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [219]"
328.349184,22.500000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [227]"
328.373092,24.697000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [235]"
328.399196,23.662000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [243]"
328.424268,23.942000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [251]"
328.449633,23.635000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [259]"
