"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
0,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,3,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359378930287,4432359379110420,4432359379120340,4432359379135571,9920
1,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,4,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379107180,4432359379120340,4432359379125780,4432359379241402,5440
2,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,5,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379115670,4432359379125780,4432359379131060,4432359379233422,5280
3,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,6,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379121500,4432359379131060,4432359379136340,4432359379248783,5280
4,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,7,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379126400,4432359379136340,4432359379141620,4432359379262033,5280
5,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,8,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379130891,4432359379141620,4432359379146580,4432359379272793,4960
6,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,9,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379137031,4432359379238900,4432359379244020,4432359379267523,5120
7,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,10,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379233882,4432359379257300,4432359379262580,4432359379278523,5280
8,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,11,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379254713,4432359379294420,4432359379299860,4432359379300594,5440
9,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,12,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379289534,4432359379299860,4432359379304980,4432359379307604,5120
10,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,13,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379295514,4432359379304980,4432359379309940,4432359379314124,4960
