bin,y,u_mean
0,0.0015625,-0.7852377
1,0.0046875,-0.1683430
2,0.0078125,5.7391987
3,0.0109375,-0.5238557
4,0.0140625,4.9235930
5,0.0171875,-2.4746270
6,0.0203125,7.9406648
7,0.0234375,4.0143075
8,0.0265625,0.7701352
9,0.0296875,0.7716921
10,0.0328125,3.1398480
11,0.0359375,4.0288458
12,0.0390625,1.4764293
13,0.0421875,5.7946939
14,0.0453125,-5.0979242
15,0.0484375,-2.1279719
16,0.0515625,0.5246414
17,0.0546875,0.9446873
18,0.0578125,-26.4084454
19,0.0609375,0.6109315
20,0.0640625,-4.4656992
21,0.0671875,5.1549129
22,0.0703125,5.4881282
23,0.0734375,-13.5836782
24,0.0765625,6.0230508
25,0.0796875,3.8573666
26,0.0828125,-3.9882352
27,0.0859375,-4.1309490
28,0.0890625,0.0688478
29,0.0921875,-8.8481083
30,0.0953125,2.4346111
31,0.0984375,-2.3674517
32,0.1015625,3.4758189
33,0.1046875,5.5044255
34,0.1078125,-0.7752282
35,0.1109375,3.4559877
36,0.1140625,3.9626546
37,0.1171875,-1.2107387
38,0.1203125,-5.5517087
39,0.1234375,9.7569294
40,0.1265625,8.4417305
41,0.1296875,-0.3268937
42,0.1328125,3.5052850
43,0.1359375,1.9717256
44,0.1390625,-3.5185359
45,0.1421875,-0.3757924
46,0.1453125,4.2244935
47,0.1484375,8.3103456
48,0.1515625,-5.4194469
49,0.1546875,0.6734868
50,0.1578125,7.4324889
51,0.1609375,-10.2542534
52,0.1640625,-13.7745047
53,0.1671875,9.2120380
54,0.1703125,0.3848802
55,0.1734375,4.5700274
56,0.1765625,3.9584358
57,0.1796875,6.7031479
58,0.1828125,-7.4841146
59,0.1859375,9.1310406
60,0.1890625,2.0778043
61,0.1921875,0.8990278
62,0.1953125,-0.2968881
63,0.1984375,0.2610480
